Fecha,Moneda,Monto Comprado,Tipo de Cambio (Bs),Total en Bolivianos (Bs),Medio de Pago,Responsable,Observaciones
7/16/2025,CLP ,20,Bs13.50,Bs270.00,Efectivo,Sergio,
7/16/2025,EUR,50,Bs16.00,Bs800.00,Efectivo,Sergio,
7/16/2025,USD,400,Bs14.00,"Bs5,600.00",Efectivo,Sergio,
7/16/2025,USD,10,Bs12.00,Bs120.00,Efectivo,Sergio,
7/16/2025,USD,100,Bs14.00,"Bs1,400.00",Efectivo,Sergio,
7/16/2025,USD,30,Bs12.00,Bs360.00,Efectivo,Sergio,
7/17/2025,CLP ,40,Bs13.50,Bs540.00,Efectivo,Tiffani,
7/17/2025,USD,100,Bs14.10,"Bs1,410.00",Efectivo,Tiffani,
7/17/2025,USD,900,Bs14.10,"Bs12,690.00",Efectivo,Tiffani,
7/17/2025,USD,10,Bs12.00,Bs120.00,Efectivo,Tiffani,
7/17/2025,USD,300,Bs14.15,"Bs4,245.00",Efectivo,Sergio,
7/17/2025,USD,100,Bs14.10,"Bs1,410.00",Efectivo,Sergio,
7/17/2025,USD,100,Bs14.10,"Bs1,410.00",Efectivo,Sergio,
7/17/2025,USD,100,Bs14.10,"Bs1,410.00",Efectivo,Sergio,
7/17/2025,USD,100,Bs14.10,"Bs1,410.00",Efectivo,Sergio,
7/17/2025,USD,200,Bs14.10,"Bs2,820.00",Efectivo,Sergio,
7/17/2025,USD,100,Bs14.10,"Bs1,410.00",Efectivo,Sergio,
7/18/2025,EUR,250,Bs16.00,"Bs4,000.00",Efectivo,Tiffani,
7/18/2025,USD,50,Bs14.00,Bs700.00,Efectivo,Tiffani,
7/18/2025,USD,30,Bs12.00,Bs360.00,Efectivo,Tiffani,
7/18/2025,USD,100,Bs14.00,"Bs1,400.00",Efectivo,Tiffani,
7/18/2025,USD,300,Bs14.00,"Bs4,200.00",Efectivo,Tiffani,
7/18/2025,BRL,500,Bs2.00,"Bs1,000.00",Efectivo,Sergio,
7/18/2025,CLP ,20,Bs13.50,Bs270.00,Efectivo,Sergio,
7/18/2025,CLP ,2,Bs13.50,Bs27.00,Efectivo,Sergio,
7/18/2025,PEN ,10,Bs3.00,Bs30.00,Efectivo,Sergio,
7/18/2025,USD,4000,Bs14.20,"Bs56,800.00",Efectivo,Sergio,
7/18/2025,USD,200,Bs14.00,"Bs2,800.00",Efectivo,Sergio,
7/19/2025,CLP ,28,Bs12.80,Bs358.40,Efectivo,Tiffani,
7/19/2025,USD,50,Bs13.80,Bs690.00,Efectivo,Tiffani,
7/19/2025,USD,100,Bs13.80,"Bs1,380.00",Efectivo,Tiffani,
7/19/2025,CLP ,20,Bs13.00,Bs260.00,Efectivo,Sergio,
7/19/2025,USD,100,Bs13.80,"Bs1,380.00",Efectivo,Sergio,
7/19/2025,USD,100,Bs13.80,"Bs1,380.00",Efectivo,Sergio,
7/29/2025,PEN ,110,Bs3.00,Bs330.00,Efectivo,Tiffani,
7/29/2025,USD,200,Bs13.20,"Bs2,640.00",Efectivo,Tiffani,
7/29/2025,USD,10,Bs12.00,Bs120.00,Efectivo,Tiffani,
7/29/2025,USD,200,Bs13.30,"Bs2,660.00",Efectivo,Tiffani,
7/29/2025,USD,5,Bs10.00,Bs50.00,Efectivo,Tiffani,
7/29/2025,USD,300,Bs13.10,"Bs3,930.00",Efectivo,Tiffani,
